Date,Open,High,Low,Close,Adj Close,Volume
4/2/19,40.169998,40.389999,39.810001,40.02,39.637714,14237200
4/3/19,40.299999,40.580002,39.970001,40.27,39.885323,21040200
4/4/19,40.32,40.619999,40.119999,40.41,40.023987,12294800
4/5/19,40.43,40.549999,40.310001,40.419998,40.03389,21141000
4/8/19,40.349998,40.75,40.169998,40.709999,40.321121,12467200
4/9/19,40.700001,41.139999,40.57,41.040001,40.647972,14949600
4/10/19,41.18,41.290001,40.779999,41.080002,40.687588,13375200
4/11/19,41.119999,41.139999,40.849998,41.040001,40.647972,9249400
4/12/19,41.07,41.330002,40.950001,41.299999,40.905487,11536400
4/15/19,41.32,41.799999,41.259998,41.779999,41.380898,12729100
4/16/19,41.84,42.18,41.509998,41.970001,41.569084,10053600
4/17/19,42.139999,42.639999,41.889999,42.57,42.163353,15338700
4/18/19,42.740002,42.830002,42.040001,42.43,42.024689,13959300
4/22/19,42.259998,42.41,41.860001,42,41.598801,10179600
4/23/19,41.970001,42.189999,41.709999,41.990002,41.588898,16963600
4/24/19,42.029999,42.25,41.740002,41.849998,41.45023,25514100
4/25/19,42.450001,43.810001,42.110001,42.93,42.519917,27730500
4/26/19,43.93,43.959999,42.869999,43.080002,42.668488,16530400
4/29/19,43.169998,43.5,42.91,43.450001,43.03495,11832500
4/30/19,43.560001,43.66,43.040001,43.529999,43.114185,15703000
5/1/19,43.48,43.799999,43.299999,43.419998,43.00523,14327500
5/2/19,43.32,43.389999,42.360001,42.650002,42.242592,18051100
5/3/19,42.970001,43.509998,42.740002,43.290001,42.876476,12751000
5/6/19,42.77,43.41,42.700001,43.299999,42.886379,13307500
5/7/19,43,43.110001,42.369999,42.759998,42.351536,15505200
5/8/19,42.73,42.959999,42.360001,42.549999,42.143547,13076900
5/9/19,42.290001,42.98,42.16,42.919998,42.51001,13624400
5/10/19,42.700001,43.220001,42.220001,43.150002,42.737816,12931500
5/13/19,42.57,43.060001,42.139999,42.279999,41.876125,17108700
5/14/19,42.27,43.389999,42.27,42.91,42.500107,16592600
5/15/19,42.75,42.919998,42.150002,42.490002,42.084122,37268400
5/16/19,42.57,43.299999,42.41,43.189999,42.777431,17593700
5/17/19,43.060001,43.810001,43.02,43.540001,43.124092,13915900
5/20/19,43.380001,43.380001,42.41,42.779999,42.371346,14094100
5/21/19,43.060001,43.310001,42.68,43.290001,42.876476,16482100
5/22/19,43.259998,43.5,43.080002,43.299999,42.886379,11964300
5/23/19,43,43.150002,42.5,42.73,42.321827,14755000
5/24/19,42.810001,43.060001,42.630001,42.669998,42.262398,9361800
5/28/19,42.849998,43.029999,42.43,42.470001,42.064312,15224600
5/29/19,42.240002,42.369999,41.75,41.919998,41.519562,16520000
5/30/19,42.23,42.240002,41.419998,41.740002,41.341286,22663900
5/31/19,41.389999,41.48,40.77,41,40.608353,22114400
6/3/19,41.029999,41.259998,40.68,40.959999,40.568733,22205800
6/4/19,41.450001,41.869999,41.25,41.400002,41.004532,21918500
6/5/19,41.759998,41.790001,41.220001,41.299999,40.905487,24325300
6/6/19,41.27,41.34,40.810001,41.150002,40.75692,23997700
6/7/19,41.349998,41.59,41.099998,41.48,41.083767,32287600
6/10/19,41.48,41.630001,41.119999,41.290001,40.895584,16781700
6/11/19,41.57,41.810001,41.029999,41.220001,40.826252,16895700
6/12/19,41.290001,41.790001,41.25,41.450001,41.054054,24733900
6/13/19,41.459999,41.73,41.369999,41.689999,41.291759,26154900
6/14/19,41.970001,42.5,41.700001,42.310001,41.905838,20943700
6/17/19,42.34,42.779999,42.09,42.560001,42.15345,14562000
6/18/19,42.98,43.610001,42.950001,43.25,42.836857,21811300
6/19/19,43.220001,43.759998,43.07,43.139999,42.727909,14863700
6/20/19,43.639999,43.77,43.310001,43.68,43.262749,18166000
6/21/19,43.43,43.779999,43.279999,43.560001,43.143898,24679500
6/24/19,43.549999,43.860001,43.43,43.599998,43.183514,12693300
6/25/19,43.52,43.560001,42.689999,42.75,42.341637,19622200
6/26/19,42.66,42.849998,41.939999,42.110001,41.707748,17737600
6/27/19,42.290001,42.32,41.41,42,41.598801,19009300
6/28/19,42.169998,42.310001,41.860001,42.279999,41.876125,49937900
7/1/19,42.650002,43,42.34,42.709999,42.302013,19570300
7/2/19,42.57,42.889999,42.459999,42.889999,42.690201,14996100
7/3/19,43,43.34,42.950001,43.32,43.118198,8404300
7/5/19,43.150002,43.349998,42.869999,43.279999,43.078384,11608800
7/8/19,43.18,43.220001,42.57,42.630001,42.431412,14804500
7/9/19,42.560001,43.139999,42.360001,42.98,42.779781,15865000
7/10/19,44.040001,44.139999,43.25,43.790001,43.58601,22178400
7/11/19,43.810001,44.130001,43.75,44.080002,43.87466,15189100
7/12/19,44.07,45.009998,43.959999,44.639999,44.432049,18076700
7/15/19,44.869999,44.869999,44.48,44.720001,44.511677,15964900
7/16/19,44.830002,45.259998,44.77,45.09,44.879951,17468500
7/17/19,45.029999,45.049999,44.349998,44.43,44.223026,16688200
7/18/19,44.25,44.580002,44.09,44.560001,44.352425,12461400
7/19/19,44.75,44.759998,44.02,44.060001,43.854752,18372000
7/22/19,44.110001,44.139999,43.639999,43.849998,43.645729,17162800
7/23/19,44.009998,44.419998,43.950001,44.32,44.113541,16611000
7/24/19,44.310001,44.880001,44.23,44.869999,44.660976,17642400
7/25/19,44.310001,45.299999,43.810001,44.610001,44.402191,25659200
7/26/19,44.02,45.080002,44.02,44.630001,44.422096,17000300
7/29/19,44.700001,44.709999,44.119999,44.23,44.02396,9840700
7/30/19,44.040001,44.259998,43.720001,44.080002,43.87466,10335700
7/31/19,43.799999,43.900002,42.700001,43.169998,42.968895,18509200
8/1/19,43.189999,43.84,42.779999,42.880001,42.680248,17420900
8/2/19,42.75,42.919998,42.200001,42.650002,42.451321,20839500
8/5/19,42.139999,42.200001,41.130001,41.610001,41.416164,23618700
8/6/19,41.689999,42.189999,41.299999,42.07,41.87402,18433400
8/7/19,41.299999,41.84,40.720001,41.73,41.535603,22674700
8/8/19,41.970001,42.880001,41.900002,42.66,42.461273,14085300
8/9/19,42.630001,43.150002,42.380001,42.93,42.730015,15782200
8/12/19,42.73,42.77,42.200001,42.459999,42.262203,15941500
8/13/19,42.540001,44.040001,42.459999,43.459999,43.257545,21465800
8/14/19,43.490002,43.490002,42.189999,42.369999,42.172623,18319400
8/15/19,42.450001,42.880001,42.049999,42.349998,42.152714,14375400
8/16/19,42.779999,43.32,42.509998,43.18,42.978851,14052100
8/19/19,43.630001,44.139999,43.610001,44,43.795029,13908500
8/20/19,43.880001,44.459999,43.689999,43.939999,43.73531,15758100
8/21/19,43.759998,44.16,43.48,44.110001,43.904518,11329400
8/22/19,44.23,44.41,43.619999,43.77,43.566101,9960500
8/23/19,43.5,43.84,42.27,42.43,42.232346,18196700
8/26/19,42.740002,43.509998,42.549999,43.349998,43.148056,13009600
8/27/19,43.900002,43.919998,43.419998,43.599998,43.396893,12508000
8/28/19,43.400002,43.900002,43.209999,43.77,43.566101,11761100
8/29/19,44.150002,44.5,43.950001,44.169998,43.964237,11339500
8/30/19,44.490002,44.650002,44.029999,44.259998,44.053818,15484500
9/3/19,43.889999,44.080002,43.529999,43.880001,43.675591,12712000
9/4/19,44.32,45.709999,44.220001,45.52,45.307949,26196000
9/5/19,46.43,46.619999,45.990002,46.41,46.193802,22075600
9/6/19,46.43,46.610001,46.200001,46.349998,46.134083,13101800
9/9/19,46.650002,46.689999,46.139999,46.419998,46.203754,16383100
